timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1667821330232,244,get Request,200,OK,Thread Group 1-426,text,true,,993,122,380,380,https://reqres.in/api/users/2,244,0,164
1667821329602,871,get Request,200,OK,Thread Group 1-260,text,true,,998,122,380,380,https://reqres.in/api/users/2,871,0,217
1667821330231,289,get Request,200,OK,Thread Group 1-418,text,true,,996,122,376,376,https://reqres.in/api/users/2,289,0,176
1667821330233,288,get Request,200,OK,Thread Group 1-428,text,true,,1000,122,376,376,https://reqres.in/api/users/2,288,0,168
1667821329694,779,get Request,200,OK,Thread Group 1-294,text,true,,994,122,380,380,https://reqres.in/api/users/2,779,0,286
1667821329697,776,Post Request,201,Created,Thread Group 1-155,text,true,,711,217,380,380,https://reqres.in/api/users,776,0,0
1667821329543,930,Post Request,201,Created,Thread Group 1-197,text,true,,721,217,380,380,https://reqres.in/api/users,930,0,0
1667821329560,913,Post Request,201,Created,Thread Group 1-153,text,true,,715,217,380,380,https://reqres.in/api/users,913,0,0
1667821329664,806,get Request,200,OK,Thread Group 1-94,text,true,,994,122,380,380,https://reqres.in/api/users/2,806,0,700
1667821330142,327,get Request,200,OK,Thread Group 1-330,text,true,,999,122,380,380,https://reqres.in/api/users/2,327,0,233
1667821329396,1062,Post Request,201,Created,Thread Group 1-3,text,true,,713,217,380,380,https://reqres.in/api/users,1062,0,0
1667821329684,770,Post Request,201,Created,Thread Group 1-203,text,true,,717,217,380,380,https://reqres.in/api/users,770,0,0
1667821330235,216,get Request,200,OK,Thread Group 1-438,text,true,,995,122,380,380,https://reqres.in/api/users/2,216,0,144
1667821329662,789,get Request,200,OK,Thread Group 1-242,text,true,,998,122,380,380,https://reqres.in/api/users/2,789,0,693
1667821329577,868,get Request,200,OK,Thread Group 1-259,text,true,,989,122,380,380,https://reqres.in/api/users/2,868,0,153
1667821329842,603,get Request,200,OK,Thread Group 1-191,text,true,,997,122,380,380,https://reqres.in/api/users/2,603,0,206
1667821329846,596,get Request,200,OK,Thread Group 1-216,text,true,,995,122,380,380,https://reqres.in/api/users/2,596,0,219
1667821329775,662,get Request,200,OK,Thread Group 1-163,text,true,,999,122,380,380,https://reqres.in/api/users/2,662,0,597
1667821329933,503,get Request,200,OK,Thread Group 1-172,text,true,,997,122,380,380,https://reqres.in/api/users/2,503,0,431
1667821329902,531,get Request,200,OK,Thread Group 1-38,text,true,,991,122,380,380,https://reqres.in/api/users/2,531,0,456
1667821329691,738,get Request,200,OK,Thread Group 1-276,text,true,,997,122,380,380,https://reqres.in/api/users/2,738,0,378
1667821329579,843,Post Request,201,Created,Thread Group 1-229,text,true,,709,217,380,380,https://reqres.in/api/users,843,0,0
1667821329830,368,Post Request,201,Created,Thread Group 1-247,text,true,,711,217,306,306,https://reqres.in/api/users,367,0,0
1667821329903,518,get Request,200,OK,Thread Group 1-42,text,true,,993,122,380,380,https://reqres.in/api/users/2,518,0,454
1667821329690,730,get Request,200,OK,Thread Group 1-231,text,true,,995,122,380,380,https://reqres.in/api/users/2,730,0,667
1667821330213,203,get Request,200,OK,Thread Group 1-401,text,true,,991,122,380,380,https://reqres.in/api/users/2,203,0,147
1667821329572,840,get Request,200,OK,Thread Group 1-258,text,true,,990,122,380,380,https://reqres.in/api/users/2,840,0,173
1667821329665,746,get Request,200,OK,Thread Group 1-82,text,true,,995,122,380,380,https://reqres.in/api/users/2,746,0,492
1667821329298,1113,get Request,200,OK,Thread Group 1-103,text,true,,997,122,380,380,https://reqres.in/api/users/2,1113,0,105
1667821329609,800,get Request,200,OK,Thread Group 1-117,text,true,,993,122,380,380,https://reqres.in/api/users/2,800,0,753
1667821329675,731,get Request,200,OK,Thread Group 1-269,text,true,,992,122,380,380,https://reqres.in/api/users/2,731,0,645
1667821330202,181,get Request,200,OK,Thread Group 1-320,text,true,,998,122,380,380,https://reqres.in/api/users/2,181,0,119
1667821330230,147,get Request,200,OK,Thread Group 1-417,text,true,,991,122,380,380,https://reqres.in/api/users/2,147,0,117
1667821329550,821,get Request,200,OK,Thread Group 1-217,text,true,,998,122,380,380,https://reqres.in/api/users/2,821,0,174
1667821329759,612,Post Request,201,Created,Thread Group 1-166,text,true,,709,217,380,380,https://reqres.in/api/users,612,0,0
1667821329839,532,get Request,200,OK,Thread Group 1-187,text,true,,1002,122,380,380,https://reqres.in/api/users/2,532,0,224
1667821329843,527,get Request,200,OK,Thread Group 1-201,text,true,,1004,122,380,380,https://reqres.in/api/users/2,527,0,194
1667821329604,766,get Request,200,OK,Thread Group 1-127,text,true,,1004,122,380,380,https://reqres.in/api/users/2,766,0,157
1667821329749,621,Post Request,201,Created,Thread Group 1-157,text,true,,711,217,380,380,https://reqres.in/api/users,621,0,0
1667821329573,795,get Request,200,OK,Thread Group 1-137,text,true,,1002,122,380,380,https://reqres.in/api/users/2,795,0,172
1667821329735,631,Post Request,201,Created,Thread Group 1-192,text,true,,711,217,379,379,https://reqres.in/api/users,631,0,0
1667821329703,663,Post Request,201,Created,Thread Group 1-15,text,true,,707,217,379,379,https://reqres.in/api/users,663,0,0
1667821329607,758,get Request,200,OK,Thread Group 1-122,text,true,,993,122,379,379,https://reqres.in/api/users/2,758,0,146
1667821329720,645,Post Request,201,Created,Thread Group 1-256,text,true,,705,217,379,379,https://reqres.in/api/users,645,0,0
1667821329680,685,get Request,200,OK,Thread Group 1-43,text,true,,991,122,379,379,https://reqres.in/api/users/2,685,0,376
1667821329721,644,Post Request,201,Created,Thread Group 1-20,text,true,,724,217,379,379,https://reqres.in/api/users,644,0,0
1667821329692,673,get Request,200,OK,Thread Group 1-284,text,true,,991,122,379,379,https://reqres.in/api/users/2,673,0,375
1667821329385,1149,Post Request,201,Created,Thread Group 1-5,text,true,,705,217,364,364,https://reqres.in/api/users,1149,0,0
1667821329846,519,get Request,200,OK,Thread Group 1-221,text,true,,996,122,379,379,https://reqres.in/api/users/2,519,0,188
1667821329722,643,Post Request,201,Created,Thread Group 1-132,text,true,,709,217,378,378,https://reqres.in/api/users,643,0,0
1667821329702,663,Post Request,201,Created,Thread Group 1-23,text,true,,709,217,378,378,https://reqres.in/api/users,663,0,0
1667821329552,813,get Request,200,OK,Thread Group 1-208,text,true,,996,122,378,378,https://reqres.in/api/users/2,813,0,182
1667821329693,672,get Request,200,OK,Thread Group 1-288,text,true,,997,122,378,378,https://reqres.in/api/users/2,672,0,377
